source_file;destination_file;subject_slug;material_slug;normalized_checksum;status;warnings
D:\Estudo\Python\saida_json\10__direito-constitucional-e-legislação-interna-da-câmara-dos-deputados__10-segurança-pública-10.1-organização-da-segurança-pública.json;D:\Estudo\Python\repositorio_conteudo\concursos\camara-dos-deputados\policial-legislativo\2026\cebraspe\edital-v1\disciplinas\dir-const-legcam\010-10-seguranca-publica-101-organizacao-da-seguranca-62c67335.json;dir-const-legcam;seguranca-publica-organizacao-cebraspe;d034af128b01e0ae6a65cc92fb0bc76c265eff56ee31bbb085e76313cea05a78;ok;
D:\Estudo\Python\saida_json\12__direito-constitucional-e-legislação-interna-da-câmara-dos-deputados__12-regimento-interno-da-câmara-dos-deputados-12.1-disposições-preliminares-e-órgãos-da-câmara-arts.-1º-a-24.json;D:\Estudo\Python\repositorio_conteudo\concursos\camara-dos-deputados\policial-legislativo\2026\cebraspe\edital-v1\disciplinas\dir-const-legcam\012-12-regimento-interno-da-camara-dos-deputados-121-28941a7c.json;dir-const-legcam;ricd-disposicoes-preliminares-orgaos;79b6c6dce39f8b7faf39c8f469928e36f43c689afac61bfd7ec505836418eb62;ok;
D:\Estudo\Python\saida_json\12__direito-constitucional-e-legislação-interna-da-câmara-dos-deputados__12-regimento-interno-da-câmara-dos-deputados-12.2-sessões-da-câmara-arts.-65-a-94.json;D:\Estudo\Python\repositorio_conteudo\concursos\camara-dos-deputados\policial-legislativo\2026\cebraspe\edital-v1\disciplinas\dir-const-legcam\012-12-regimento-interno-da-camara-dos-deputados-122-148c5b58.json;dir-const-legcam;ricd-sessoes-da-camara-arts-65-94;0cbc830f869ee4ac247dfccfe4b0572a786e5d2f5995d571665679947ca7b554;ok;
D:\Estudo\Python\saida_json\12__direito-constitucional-e-legislação-interna-da-câmara-dos-deputados__12-regimento-interno-da-câmara-dos-deputados-12.3-deputados-arts.-226-a-251.json;D:\Estudo\Python\repositorio_conteudo\concursos\camara-dos-deputados\policial-legislativo\2026\cebraspe\edital-v1\disciplinas\dir-const-legcam\012-12-regimento-interno-da-camara-dos-deputados-123-0a2b5281.json;dir-const-legcam;ricd-deputados-arts-226-251-cebraspe;c904ed48c014836a64500c48fab4fd9cc4955a0f8d6d49a7e4fac0256c3ef6c6;ok;
D:\Estudo\Python\saida_json\12__direito-constitucional-e-legislação-interna-da-câmara-dos-deputados__12-regimento-interno-da-câmara-dos-deputados-12.4-administração-e-economia-interna-arts.-262-a-273.json;D:\Estudo\Python\repositorio_conteudo\concursos\camara-dos-deputados\policial-legislativo\2026\cebraspe\edital-v1\disciplinas\dir-const-legcam\124-administracao-e-economia-interna-arts-262-a-273-6b2a621a.json;dir-const-legcam;regimento-interno-camara-deputados;272c0e1ff1a12175c2a198b7cac162dc39097913e31f8d366b82f8528c0f6729;ok;
D:\Estudo\Python\saida_json\13__direito-constitucional-e-legislação-interna-da-câmara-dos-deputados__13.-resolução-da-câmara-dos-deputados-nº-182003-e-suas-atualizações-sem-anexos-13.1-ato-da-mesa-da-câmara-dos-deputados-.json;D:\Estudo\Python\repositorio_conteudo\concursos\camara-dos-deputados\policial-legislativo\2026\cebraspe\edital-v1\disciplinas\dir-const-legcam\013-13-resolucao-da-camara-dos-deputados-no-182003-e-suas-d9659eba.json;dir-const-legcam;resolucao-camara-deputados-18-2003-ato;5937cf70ed60c3f53ad8899184ed226343ec835dd2d54638b876e6c21ac9345f;ok;
D:\Estudo\Python\saida_json\1__direito-administrativo__1-introdução-ao-direito-administrativo-1.1-origem-natureza-jurídica-e-objeto-do-direito-administrativo.json;D:\Estudo\Python\repositorio_conteudo\concursos\camara-dos-deputados\policial-legislativo\2026\cebraspe\edital-v1\disciplinas\dir-adm\001-1-introducao-ao-direito-administrativo-11-origem-b9c2f34a.json;dir-adm;introducao-direito-administrativo-origem;b63bc8e6ea88a76c8ea1c52dab3eaab0414b715121cbd11ecf31c93a3e36963c;ok;
D:\Estudo\Python\saida_json\1__direito-administrativo__1-introdução-ao-direito-administrativo-1.2-os-diferentes-critérios-adotados-para-a-conceituação-do-direito-administrativ.json;D:\Estudo\Python\repositorio_conteudo\concursos\camara-dos-deputados\policial-legislativo\2026\cebraspe\edital-v1\disciplinas\dir-adm\001-12-os-diferentes-criterios-adotados-para-a-conceituacao-ed03f709.json;dir-adm;conceituacao-direito-administrativo;0bea045eb31f163f97e0f370ffd3f7aa3753526c1ea03f4e0b9f31ddb83adc0c;ok;
D:\Estudo\Python\saida_json\1__direito-administrativo__1-introdução-ao-direito-administrativo-1.3-fontes-do-direito-administrativo.json;D:\Estudo\Python\repositorio_conteudo\concursos\camara-dos-deputados\policial-legislativo\2026\cebraspe\edital-v1\disciplinas\dir-adm\001-13-fontes-do-direito-administrativo-abc152a6.json;dir-adm;fontes-do-direito-administrativo;c05a09c70c8d2069b64b25f85ba05af366b479c027ff5b79a8d257de03f2d956;ok;
D:\Estudo\Python\saida_json\1__direito-constitucional-e-legislação-interna-da-câmara-dos-deputados__1-constituição-federal-de-1988-conceito-contexto-histórico-características-estrutura-do-texto.json;D:\Estudo\Python\repositorio_conteudo\concursos\camara-dos-deputados\policial-legislativo\2026\cebraspe\edital-v1\disciplinas\dir-const-legcam\001-1-constituicao-federal-de-1988-conceito-contexto-57581bfb.json;dir-const-legcam;constituicao-federal-1988-conceito;094781d2927250bd244f92515cd45d86b9d8a28760b2ba19e8cbd7c1532b4985;ok;
